observation_id,indicator_id,date,geography,value,unit,status,dataset_id,vintage_id,observation_version,quality_grade
NAS-MFG-GROWTH-2023-24,IND-MFG-GVA-GROWTH-001,2024-03-31,INDIA,12.7,%,observed,DS-MOSPI-NAS-001,VNT-MOSPI-NAS-2026-08-31,1,A
NAS-MFG-GROWTH-2024-25,IND-MFG-GVA-GROWTH-001,2025-03-31,INDIA,9.3,%,revised,DS-MOSPI-NAS-001,VNT-MOSPI-NAS-2026-08-31,1,A
NAS-MFG-GROWTH-2025-26,IND-MFG-GVA-GROWTH-001,2026-03-31,INDIA,10.7,%,provisional,DS-MOSPI-NAS-001,VNT-MOSPI-NAS-2026-08-31,1,A
