observation_id,indicator_id,measurement_date,period_label,period_start,period_end,geography,value,unit,status,dataset_id,vintage_id,observation_version,quality_grade,publication_date,verification_date
OBS-MFG-OBICUS-CUSA-2023Q1-INDIA,IND-MFG-OBICUS-CU-SA-001,2023-06-30,Q1:2023-24,2023-04-01,2023-06-30,INDIA,75.4,"%",observed,DS-RBI-OBICUS-001,VNT-RBI-OBICUS-2024-10-09,1,A,2024-10-09,2026-09-07
OBS-MFG-OBICUS-CUSA-2023Q2-INDIA,IND-MFG-OBICUS-CU-SA-001,2023-09-30,Q2:2023-24,2023-07-01,2023-09-30,INDIA,74.5,"%",observed,DS-RBI-OBICUS-001,VNT-RBI-OBICUS-2024-10-09,1,A,2024-10-09,2026-09-07
OBS-MFG-OBICUS-CUSA-2023Q3-INDIA,IND-MFG-OBICUS-CU-SA-001,2023-12-31,Q3:2023-24,2023-10-01,2023-12-31,INDIA,74.6,"%",observed,DS-RBI-OBICUS-001,VNT-RBI-OBICUS-2024-10-09,1,A,2026-09-07
OBS-MFG-OBICUS-CUSA-2023Q4-INDIA,IND-MFG-OBICUS-CU-SA-001,2024-03-31,Q4:2023-24,2024-01-01,2024-03-31,INDIA,74.6,"%",observed,DS-RBI-OBICUS-001,VNT-RBI-OBICUS-2024-10-09,1,A,2024-10-09,2026-09-07
OBS-MFG-OBICUS-CUSA-2024Q1-INDIA,IND-MFG-OBICUS-CU-SA-001,2024-06-30,Q1:2024-25,2024-04-01,2024-06-30,INDIA,75.8,"%",observed,DS-RBI-OBICUS-001,VNT-RBI-OBICUS-2024-10-09,1,A,2024-10-09,2026-09-07
