observation_id,indicator_id,date,geography,value,unit,status,dataset_id,vintage_id,observation_version,quality_grade
NAS-MFG-SHARE-2022-23,IND-MFG-GVA-SHARE-001,2023-03-31,INDIA,14.7,% of total GVA,observed,DS-MOSPI-NAS-001,VNT-MOSPI-NAS-2026-08-31,1,A
NAS-MFG-SHARE-2023-24,IND-MFG-GVA-SHARE-001,2024-03-31,INDIA,14.7,% of total GVA,observed,DS-MOSPI-NAS-001,VNT-MOSPI-NAS-2026-08-31,1,A
NAS-MFG-SHARE-2024-25,IND-MFG-GVA-SHARE-001,2025-03-31,INDIA,14.5,% of total GVA,revised,DS-MOSPI-NAS-001,VNT-MOSPI-NAS-2026-08-31,1,A
NAS-MFG-SHARE-2025-26,IND-MFG-GVA-SHARE-001,2026-03-31,INDIA,14.8,% of total GVA,provisional,DS-MOSPI-NAS-001,VNT-MOSPI-NAS-2026-08-31,1,A
