observation_id,indicator_id,measurement_date,period_label,period_start,period_end,geography,value,unit,status,dataset_id,vintage_id,observation_version,quality_grade,publication_date,verification_date
OBS-MFG-IIP-2022-23-2026-04-V2,IND-MFG-IIP-001,2026-04-30,2026-04,2026-04-01,2026-04-30,INDIA,118.7,"index, 2022-23=100",revised,DS-MOSPI-IIP-001,VNT-MOSPI-IIP-2022-23-20260828,2,A,2026-08-28,2026-09-07
OBS-MFG-IIP-2022-23-2026-05-V2,IND-MFG-IIP-001,2026-05-31,2026-05,2026-05-01,2026-05-31,INDIA,122.2,"index, 2022-23=100",observed,DS-MOSPI-IIP-001,VNT-MOSPI-IIP-2022-23-20260828,1,A,2026-08-28,2026-09-07
OBS-MFG-IIP-2022-23-2026-06-V2,IND-MFG-IIP-001,2026-06-30,2026-06,2026-06-01,2026-06-30,INDIA,125.3,"index, 2022-23=100",revised,DS-MOSPI-IIP-001,VNT-MOSPI-IIP-2022-23-20260828,2,A,2026-08-28,2026-09-07
OBS-MFG-IIP-2022-23-2026-07-V1,IND-MFG-IIP-001,2026-07-31,2026-07,2026-07-01,2026-07-31,INDIA,127.4,"index, 2022-23=100",provisional,DS-MOSPI-IIP-001,VNT-MOSPI-IIP-2022-23-20260828,1,A,2026-08-28,2026-09-07
